quay_code,monomodal_stop_id,stop_id_idfm,monomodal_code,stop_name,parent_station,stop_lat,stop_lon,zone_id,location_type,station_code
471121,monomodalStopPlace:47883,IDFM:471121,47883,Chaville - Vélizy,IDFM:69487,48.79968116446791,2.1834187943404744,3,0,VEL
472685,monomodalStopPlace:47884,IDFM:472685,47884,Fontenay-le-Fleury,IDFM:63999,48.807273444277804,2.0407045118857456,5,0,
470834,monomodalStopPlace:47884,IDFM:470834,47884,Fontenay-le-Fleury,IDFM:63999,48.807273444277804,2.0407045118857456,5,0,
41232,monomodalStopPlace:47884,IDFM:41232,47884,Fontenay-le-Fleury,IDFM:63999,48.807273444277804,2.0407045118857456,5,0,
47884,monomodalStopPlace:47884,IDFM:47884,47884,Fontenay-le-Fleury,IDFM:63999,48.807273444277804,2.0407045118857456,5,0,
47885,monomodalStopPlace:47885,IDFM:47885,47885,Plaisir - Grignon,IDFM:64199,48.831926089228816,1.943537514733802,5,0,
470807,monomodalStopPlace:47885,IDFM:470807,47885,Plaisir - Grignon,IDFM:64199,48.831926089228816,1.943537514733802,5,0,
472978,monomodalStopPlace:47885,IDFM:472978,47885,Plaisir - Grignon,IDFM:64199,48.831926089228816,1.943537514733802,5,0,
472484,monomodalStopPlace:47885,IDFM:472484,47885,Plaisir - Grignon,IDFM:64199,48.831926089228816,1.943537514733802,5,0,
41234,monomodalStopPlace:47885,IDFM:41234,47885,Plaisir - Grignon,IDFM:64199,48.831926089228816,1.943537514733802,5,0,
47886,monomodalStopPlace:47886,IDFM:47886,47886,Nogent-sur-Marne,IDFM:71590,48.834306538503405,2.471683791180998,3,0,NOG
474043,monomodalStopPlace:47886,IDFM:474043,47886,Nogent-sur-Marne,IDFM:71590,48.834306538503405,2.471683791180998,3,0,NOG
474045,monomodalStopPlace:47886,IDFM:474045,47886,Nogent-sur-Marne,IDFM:71590,48.834306538503405,2.471683791180998,3,0,NOG
412716,monomodalStopPlace:47886,IDFM:412716,47886,Nogent-sur-Marne,IDFM:71590,48.834306538503405,2.471683791180998,3,0,NOG
473945,monomodalStopPlace:47888,IDFM:473945,47888,Gif-sur-Yvette,IDFM:62890,48.698175579920274,2.13649439862523,5,0,GIF
473946,monomodalStopPlace:47888,IDFM:473946,47888,Gif-sur-Yvette,IDFM:62890,48.698175579920274,2.13649439862523,5,0,GIF
474011,monomodalStopPlace:47889,IDFM:474011,47889,Saint-Rémy-lès-Chevreuse,IDFM:62978,48.702732696472715,2.071385742904064,5,0,REM
47889,monomodalStopPlace:47889,IDFM:47889,47889,Saint-Rémy-lès-Chevreuse,IDFM:62978,48.702732696472715,2.071385742904064,5,0,REM
474012,monomodalStopPlace:47889,IDFM:474012,47889,Saint-Rémy-lès-Chevreuse,IDFM:62978,48.702732696472715,2.071385742904064,5,0,REM
